"id","subspecies","call_type","context","location","date","description","audio_file","spectrogram_file"
1,"M. k. macfarlanei","Food Delivery Call","Male calling while approaching the nest box with food.","Kaleden, B.C.","2022-05-27","Food delivery calls are unique and highly context-dependent. They have only ever been observed in relation to prey deliveries to the nest; however, they may also be used as a form of intimate contact call, but this has not been looked at. They often consist of short staccato notes, much like morse code.","morse_code_call_wesomac.wav","morse_code_call_wesomac.png"
2,"M. k. macfarlanei","Barking","Female barking after leaving the nest.","Kaleden, B.C.","2022-05-27","Barks are loud, short bursts with lots of harmonics, and are usually a sign that an owl is agitated. They're typically heard from the female once the chicks are a little older or have fledged; however, they can occur whenever an owl is agitated, often in response to a predator.","WESOmac_barking.wav","WESOmac_barking.png"
3,"M. k. macfarlanei","Begging","Chicks within the nest box, perhaps 2-3 weeks old.","Kaleden, B.C.","2022-05-27","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_Chick1.wav","WESOmac_Chick1.png"
4,"M. k. macfarlanei","Begging","Chicks within the nest cavity, perhaps 2-3 weeks old.","Okanagan Falls, B.C.","2022-05-28","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_Chick2.wav","WESOmac_Chick2.png"
5,"M. k. macfarlanei","Begging","Chicks within the nest box, perhaps 2-3 weeks old.","Kaleden, B.C.","2022-05-26","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_Chick3.wav","WESOmac_Chick3.png"
6,"M. k. macfarlanei","Begging","Chicks within the nest box, perhaps 1-2 weeks old.","Kaleden, B.C.","2022-05-17","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_Chick4_young.wav","WESOmac_Chick4_young.png"
7,"M. k. macfarlanei","Double Trill","Male singing near the nest box.","Kaleden, B.C.","","Both males and females will give a double-trill as a more aggressive form of their song, sometimes heard in response to call playback.","WESOmac_doubletrill.wav","WESOmac_doubletrill.png"
8,"M. k. macfarlanei","Begging","Adult female owl begging for food from the male. She is in the nest box.","Kaleden, B.C.","2022-05-26","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can. Both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow, and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_femalebeg.wav","WESOmac_femalebeg.png"
9,"M. k. macfarlanei","Drumming","Female in the nest box, similar to male drumming, but the chicks were roughly 2-3 weeks old at this point.","Kaleden, B.C.","","Drumming is most often heard from the male prior to copulation. In some contexts, owls have also been heard drumming from within the nest cavity. Drumming does not have a set duration but can continue for several minutes and consists of short, evenly measured notes, often not broadcast loudly. Most often the male will drum when the female is nearby, but drumming has been observed in other contexts as well. The context of female drumming is less clearly understood.","WESOmac_femaledrumming.wav","WESOmac_femaledrumming.png"
10,"M. k. macfarlanei","Whinny","Female calling in the nest.","Kaleden, B.C.","","Begging is a form of demand. Often begging is a bid for affection or food. Although males have not been observed begging, they likely can, but both adult female owls and chicks will beg frequently during the breeding season. Chick begging progresses as they grow and chicks will continue to be distinguishable from adult female begging until 2-3 months after they are fledged. Once owls have matured in the fall, they become unrecognisable from adults.","WESOmac_femalewhinnying2.wav","WESOmac_femalewhinnying2.png"
11,"M. k. macfarlanei","Food Delivery Call","Male calling while approaching the nest box with food.","Kaleden, B.C.","","Food delivery calls are unique and highly context-dependent. They have only ever been observed in relation to prey deliveries to the nest; however, they may also be used as a form of intimate contact call, but this has not been looked at. They often consist of short staccato notes, much like morse code.","WESOMac_sticatto_morse_code_call.wav","WESOMac_sticatto_morse_code_call.png"
12,"M. k. macfarlanei","Barking","Female began barking after a Great-Horned Owl started barking.","Kaleden, B.C.","2022-05-23","Barks are loud, short bursts with lots of harmonics, and are usually a sign that an owl is agitated. They're typically heard from the female once the chicks are a little older or have fledged; however, they can occur whenever an owl is agitated, often in response to a predator.","barkingweso_and_ghow_may23_2026.wav","barkingweso_and_ghow_may23_2026.png"
